iter	Passed	Remaining
1030	10313	9692
1031	10322	9682
1032	10333	9673
1033	10343	9662
1034	10355	9655
1035	10368	9647
1036	10379	9638
1037	10391	9630
1038	10400	9619
1039	10411	9610
1040	10422	9601
1041	10432	9591
1042	10442	9581
1043	10449	9568
1044	10464	9563
1045	10475	9553
1046	10484	9542
1047	10493	9532
1048	10504	9523
1049	10514	9513
1050	10524	9503
1051	10534	9492
1052	10544	9482
1053	10551	9470
1054	10563	9462
1055	10573	9452
1056	10583	9441
1057	10593	9431
1058	10603	9421
1059	10612	9410
1060	10624	9402
1061	10634	9392
1062	10642	9381
1063	10651	9369
1064	10660	9358
1065	10669	9348
1066	10678	9337
1067	10687	9326
1068	10696	9315
1069	10706	9305
1070	10715	9295
1071	10725	9284
1072	10734	9274
1073	10743	9263
1074	10752	9252
1075	10763	9242
1076	10772	9232
1077	10783	9222
1078	10792	9212
1079	10803	9202
1080	10814	9194
1081	10824	9183
1082	10836	9175
1083	10847	9166
1084	10856	9155
1085	10866	9145
1086	10874	9134
1087	10883	9123
1088	10892	9111
1089	10900	9100
1090	10910	9090
1091	10918	9078
1092	10927	9067
1093	10935	9056
1094	10945	9046
1095	10954	9035
1096	10964	9025
1097	10975	9016
1098	10986	9006
1099	10995	8996
1100	11005	8986
1101	11015	8976
1102	11025	8966
1103	11036	8956
1104	11046	8947
1105	11056	8937
1106	11065	8926
1107	11075	8915
1108	11084	8905
1109	11094	8895
1110	11104	8885
1111	11115	8876
1112	11125	8866
1113	11135	8856
1114	11160	8858
1115	11169	8847
1116	11177	8835
1117	11186	8825
1118	11196	8815
1119	11205	8804
1120	11215	8794
1121	11225	8784
1122	11234	8773
1123	11245	8764
1124	11256	8755
1125	11267	8745
1126	11276	8735
1127	11286	8725
1128	11296	8714
1129	11305	8704
1130	11313	8692
1131	11322	8682
1132	11331	8671
1133	11340	8660
1134	11349	8649
1135	11358	8638
1136	11367	8628
1137	11377	8617
1138	11387	8608
1139	11397	8598
1140	11407	8588
1141	11414	8576
1142	11425	8566
1143	11435	8556
1144	11447	8548
1145	11457	8537
1146	11468	8529
1147	11477	8518
1148	11486	8507
1149	11494	8496
1150	11504	8485
1151	11513	8475
1152	11521	8463
1153	11531	8453
1154	11547	8448
1155	11561	8441
1156	11572	8431
1157	11581	8421
1158	11592	8411
1159	11602	8401
1160	11612	8391
1161	11622	8381
1162	11632	8371
1163	11642	8361
1164	11654	8353
1165	11685	8358
1166	11698	8350
1167	11709	8340
1168	11718	8330
1169	11729	8320
1170	11739	8310
1171	11750	8301
1172	11760	8291
1173	11770	8281
1174	11779	8270
1175	11789	8260
1176	11797	8249
1177	11806	8238
1178	11816	8228
1179	11825	8217
1180	11834	8207
1181	11845	8197
1182	11854	8187
1183	11865	8177
1184	11875	8167
1185	11884	8156
1186	11893	8146
1187	11902	8135
1188	11911	8124
1189	11919	8113
1190	11928	8102
1191	11937	8092
1192	11946	8080
1193	11954	8070
1194	11963	8059
1195	11971	8047
1196	11979	8036
1197	11988	8025
1198	11996	8014
1199	12005	8003
1200	12014	7992
1201	12022	7981
1202	12031	7970
1203	12040	7960
1204	12050	7950
1205	12058	7939
1206	12070	7930
1207	12079	7919
1208	12089	7909
1209	12098	7899
1210	12109	7889
1211	12118	7878
1212	12127	7868
1213	12137	7858
1214	12146	7847
1215	12156	7837
1216	12167	7828
1217	12178	7818
1218	12187	7808
1219	12197	7798
1220	12206	7787
1221	12215	7776
1222	12223	7765
1223	12232	7755
1224	12240	7744
1225	12248	7732
1226	12257	7721
1227	12267	7712
1228	12276	7701
1229	12285	7690
1230	12294	7680
1231	12303	7669
1232	12312	7658
1233	12321	7648
1234	12331	7638
1235	12341	7628
1236	12350	7617
1237	12361	7608
1238	12371	7598
1239	12378	7586
1240	12389	7577
1241	12398	7567
1242	12408	7557
1243	12419	7547
1244	12430	7538
1245	12440	7528
1246	12450	7518
1247	12458	7507
1248	12470	7498
1249	12481	7489
1250	12492	7479
1251	12513	7476
1252	12522	7465
1253	12531	7455
1254	12540	7444
1255	12549	7433
1256	12558	7423
1257	12568	7412
1258	12577	7402
1259	12585	7391
1260	12595	7381
1261	12603	7370
1262	12613	7360
1263	12622	7350
1264	12631	7339
1265	12639	7328
1266	12647	7317
1267	12656	7306
1268	12665	7295
1269	12675	7286
1270	12687	7277
1271	12697	7267
1272	12707	7257
1273	12717	7247
1274	12727	7237
1275	12736	7226
1276	12745	7216
1277	12755	7206
1278	12765	7196
1279	12774	7185
1280	12783	7174
1281	12792	7164
1282	12802	7154
1283	12811	7144
1284	12821	7133
1285	12830	7123
1286	12840	7113
1287	12849	7103
1288	12872	7100
1289	12881	7089
1290	12890	7079
1291	12899	7068
1292	12908	7058
1293	12918	7048
1294	12926	7037
1295	12935	7026
1296	12944	7016
1297	12953	7005
1298	12962	6995
1299	12972	6984
1300	12980	6973
1301	12988	6963
1302	13014	6961
1303	13023	6951
1304	13030	6939
1305	13040	6929
1306	13048	6918
1307	13057	6908
1308	13070	6899
1309	13078	6888
1310	13086	6877
1311	13097	6868
1312	13107	6858
1313	13118	6848
1314	13128	6838
1315	13136	6828
1316	13145	6817
1317	13155	6807
1318	13164	6796
1319	13183	6791
1320	13192	6781
1321	13202	6771
1322	13211	6760
1323	13219	6749
1324	13229	6739
1325	13238	6728
1326	13247	6718
1327	13255	6707
1328	13265	6697
1329	13274	6686
1330	13282	6676
1331	13293	6666
1332	13301	6655
1333	13311	6645
1334	13322	6636
1335	13331	6625
1336	13344	6617
1337	13353	6607
1338	13362	6596
1339	13371	6585
1340	13380	6575
1341	13389	6565
1342	13399	6555
1343	13409	6545
1344	13418	6534
1345	13428	6524
1346	13438	6514
1347	13449	6505
1348	13458	6494
1349	13468	6484
1350	13477	6474
1351	13487	6464
1352	13498	6455
1353	13506	6444
1354	13519	6435
1355	13530	6426
1356	13542	6417
1357	13553	6407
1358	13563	6397
1359	13572	6387
1360	13581	6376
1361	13591	6366
1362	13600	6356
1363	13610	6346
1364	13619	6335
1365	13627	6325
1366	13636	6314
1367	13644	6303
1368	13654	6293
1369	13662	6282
1370	13671	6272
1371	13680	6262
1372	13689	6251
1373	13696	6240
1374	13705	6229
1375	13714	6219
1376	13722	6208
1377	13731	6198
1378	13741	6188
1379	13750	6177
1380	13760	6167
1381	13769	6157
1382	13777	6146
1383	13786	6136
1384	13795	6125
1385	13804	6115
1386	13812	6104
1387	13822	6094
1388	13831	6084
1389	13839	6073
1390	13848	6063
1391	13857	6052
1392	13866	6042
1393	13874	6031
1394	13883	6021
1395	13891	6010
1396	13900	5999
1397	13908	5989
1398	13918	5979
